# host=omarchy-power9 kernel=7.2.6-64k date=2026-09-16T19:35:40-06:00 cpu=88 node=0 runs=5 reps=3
# emulator=/home/jbettcher/Development/POWERarm-wt/bench/build-bench/Bin/POWERarm commit=41e9380c03cf42999429a49c9f95ff3e570e201d
# smt: on load: 2.48 7.40 8.35 2/2576 4001626
# cpufreq cpu88 before: governor=ondemand cur=2333000 max=3800000
host,config,bench,run,rep,scale,ns,wall_ns,sum,parity,node_busy_pct
power9,powerarm,crc32,4,1,64,1448038490,4404095437,323d083d79762f78,,1
power9,powerarm,crc32,4,2,64,1453154458,4404095437,323d083d79762f78,,1
power9,powerarm,crc32,4,summary,64,4349479533,4404095437,323d083d79762f78,ok,1
power9,powerarm-startup,crc32,4,0,1,22801160,72680771,00000000c4994742,,2
power9,powerarm-startup,crc32,4,summary,1,22801160,72680771,00000000c4994742,ok,2
power9,native-power9-startup,crc32,4,0,1,2783342,13793657,00000000c4994742,,1
power9,native-power9-startup,crc32,4,summary,1,2783342,13793657,00000000c4994742,ok,1
power9,native-power8,sha256,4,0,48,357371467,1085304425,4238e6322fef7301,,2
power9,native-power8,sha256,4,1,48,357519989,1085304425,4238e6322fef7301,,2
power9,native-power8,sha256,4,2,48,357232326,1085304425,4238e6322fef7301,,2
power9,native-power8,sha256,4,summary,48,1072123782,1085304425,4238e6322fef7301,ok,2
power9,native-power9,sha256,4,0,48,361958638,1098487323,4238e6322fef7301,,1
power9,native-power9,sha256,4,1,48,362102245,1098487323,4238e6322fef7301,,1
power9,native-power9,sha256,4,2,48,362085749,1098487323,4238e6322fef7301,,1
power9,native-power9,sha256,4,summary,48,1086146632,1098487323,4238e6322fef7301,ok,1
power9,powerarm,sha256,4,0,48,1484553604,4503274108,4238e6322fef7301,,1
power9,powerarm,sha256,4,1,48,1485198489,4503274108,4238e6322fef7301,,1
power9,powerarm,sha256,4,2,48,1491097048,4503274108,4238e6322fef7301,,1
power9,powerarm,sha256,4,summary,48,4460849141,4503274108,4238e6322fef7301,ok,1
power9,powerarm-startup,sha256,4,0,1,31433401,81152582,7169e8403478a163,,3
power9,powerarm-startup,sha256,4,summary,1,31433401,81152582,7169e8403478a163,ok,3
power9,native-power9-startup,sha256,4,0,1,7570907,19213598,7169e8403478a163,,2
power9,native-power9-startup,sha256,4,summary,1,7570907,19213598,7169e8403478a163,ok,2
power9,native-power8,bst,4,0,400000,139964786,436271112,0ded589ff2a3247b,,3
power9,native-power8,bst,4,1,400000,137948261,436271112,0ded589ff2a3247b,,3
power9,native-power8,bst,4,2,400000,151253158,436271112,0ded589ff2a3247b,,3
power9,native-power8,bst,4,summary,400000,429166205,436271112,0ded589ff2a3247b,ok,3
power9,native-power9,bst,4,0,400000,137352091,417543594,0ded589ff2a3247b,,2
power9,native-power9,bst,4,1,400000,136429183,417543594,0ded589ff2a3247b,,2
power9,native-power9,bst,4,2,400000,136827147,417543594,0ded589ff2a3247b,,2
power9,native-power9,bst,4,summary,400000,410608421,417543594,0ded589ff2a3247b,ok,2
power9,powerarm,bst,4,0,400000,541185422,1644272185,0ded589ff2a3247b,,1
power9,powerarm,bst,4,1,400000,540649320,1644272185,0ded589ff2a3247b,,1
power9,powerarm,bst,4,2,400000,539996340,1644272185,0ded589ff2a3247b,,1
power9,powerarm,bst,4,summary,400000,1621831082,1644272185,0ded589ff2a3247b,ok,1
power9,powerarm-startup,bst,4,0,1,253995,32447583,266a770512af4d68,,1
power9,powerarm-startup,bst,4,summary,1,253995,32447583,266a770512af4d68,ok,1
power9,native-power9-startup,bst,4,0,1,16107,4743871,266a770512af4d68,,1
power9,native-power9-startup,bst,4,summary,1,16107,4743871,266a770512af4d68,ok,1
power9,native-power8,vm,4,0,150000,453941633,1369178617,0000814e78cfc084,,1
power9,native-power8,vm,4,1,150000,453876466,1369178617,0000814e78cfc084,,1
