# host=omarchy-power9 cpu=136 iters=4000000 date=2026-09-16T21:11:36-06:00 load=13.89 7.80 6.69 freq=2300000
Q_fwd_near_x4,pm_lsu_flush_lhl_shl:u,5,0.0000,74.00%
Q_fwd_near_x4,pm_cmplu_stall_fxu:u,836922,0.2092,78.00%
Q_loop_long,ns_per_iter,5.086,5.086
Q_loop_long,cycles:u,98229204,24.5573,100.00%
Q_loop_long,instructions:u,299792527,74.9481,100.00%
Q_loop_long,pm_cmplu_stall:u,9208244,2.3021,100.00%
Q_loop_long,pm_cmplu_stall_exec_unit:u,1224974,0.3062,100.00%
Q_loop_long,pm_flush_mpred:u,135957,0.0340,100.00%
Q_loop_long,pm_cmplu_stall_st_fwd:u,1197,0.0003,100.00%
Q_loop_long,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
Q_loop_long,pm_br_mpred_cmpl:u,135313,0.0338,100.00%
Q_loop_long,pm_br_pred_ccache:u,908,0.0002,100.00%
Q_loop_long,pm_br_mpred_ccache:u,183,0.0000,100.00%
Q_loop_long,pm_br_pred_lstack:u,1474,0.0004,100.00%
Q_loop_long,pm_br_mpred_lstack:u,219,0.0001,100.00%
Q_loop_long,pm_cmplu_stall_bru:u,6137,0.0015,100.00%
Q_loop_long,pm_cmplu_stall_lsu:u,7694680,1.9237,100.00%
Q_loop_long,pm_st_fwd:u,191,0.0000,26.00%
Q_loop_long,pm_flush_lsu:u,28,0.0000,49.00%
Q_loop_long,pm_lsu_flush_lhl_shl:u,4,0.0000,74.00%
Q_loop_long,pm_cmplu_stall_fxu:u,619417,0.1549,73.00%
