# host=omarchy-power9 cpu=120 iters=4000000 date=2026-09-16T21:06:29-06:00 load=2.96 5.04 5.91 freq=3800000
F_srdi32,pm_cmplu_stall_st_fwd:u,1202,0.0003,100.00%
F_srdi32,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
F_srdi32,pm_br_mpred_cmpl:u,134796,0.0337,100.00%
F_srdi32,pm_br_pred_ccache:u,909,0.0002,100.00%
F_srdi32,pm_br_mpred_ccache:u,195,0.0000,100.00%
F_srdi32,pm_br_pred_lstack:u,1481,0.0004,100.00%
F_srdi32,pm_br_mpred_lstack:u,236,0.0001,100.00%
F_srdi32,pm_cmplu_stall_bru:u,916,0.0002,100.00%
F_srdi32,pm_cmplu_stall_lsu:u,7703323,1.9258,100.00%
F_srdi32,pm_st_fwd:u,773,0.0002,25.00%
F_srdi32,pm_flush_lsu:u,30,0.0000,49.00%
F_srdi32,pm_lsu_flush_lhl_shl:u,4,0.0000,74.00%
F_srdi32,pm_cmplu_stall_fxu:u,591908,0.1480,74.00%
F_add_dot,ns_per_iter,4.236,4.236
F_add_dot,cycles:u,83469222,20.8673,100.00%
F_add_dot,instructions:u,75562885,18.8907,100.00%
F_add_dot,pm_cmplu_stall:u,8609560,2.1524,100.00%
F_add_dot,pm_cmplu_stall_exec_unit:u,752554,0.1881,100.00%
F_add_dot,pm_flush_mpred:u,136121,0.0340,100.00%
F_add_dot,pm_cmplu_stall_st_fwd:u,1086,0.0003,100.00%
F_add_dot,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
F_add_dot,pm_br_mpred_cmpl:u,134326,0.0336,100.00%
F_add_dot,pm_br_pred_ccache:u,909,0.0002,100.00%
F_add_dot,pm_br_mpred_ccache:u,189,0.0000,100.00%
F_add_dot,pm_br_pred_lstack:u,1463,0.0004,100.00%
F_add_dot,pm_br_mpred_lstack:u,229,0.0001,100.00%
F_add_dot,pm_cmplu_stall_bru:u,927,0.0002,100.00%
F_add_dot,pm_cmplu_stall_lsu:u,7628925,1.9072,100.00%
F_add_dot,pm_st_fwd:u,192,0.0000,23.00%
F_add_dot,pm_flush_lsu:u,44,0.0000,49.00%
F_add_dot,pm_lsu_flush_lhl_shl:u,4,0.0000,74.00%
F_add_dot,pm_cmplu_stall_fxu:u,573019,0.1433,76.00%
F_add_dot_isel,ns_per_iter,8.471,8.471
F_add_dot_isel,cycles:u,213629238,53.4073,100.00%
F_add_dot_isel,instructions:u,267759532,66.9399,100.00%
F_add_dot_isel,pm_cmplu_stall:u,8631653,2.1579,100.00%
F_add_dot_isel,pm_cmplu_stall_exec_unit:u,752489,0.1881,100.00%
F_add_dot_isel,pm_flush_mpred:u,136102,0.0340,100.00%
F_add_dot_isel,pm_cmplu_stall_st_fwd:u,1247,0.0003,100.00%
F_add_dot_isel,pm_cmplu_stall_lhs:u,13,0.0000,100.00%
F_add_dot_isel,pm_br_mpred_cmpl:u,135140,0.0338,100.00%
F_add_dot_isel,pm_br_pred_ccache:u,909,0.0002,100.00%
F_add_dot_isel,pm_br_mpred_ccache:u,194,0.0000,100.00%
F_add_dot_isel,pm_br_pred_lstack:u,1464,0.0004,100.00%
F_add_dot_isel,pm_br_mpred_lstack:u,233,0.0001,100.00%
F_add_dot_isel,pm_cmplu_stall_bru:u,1076,0.0003,100.00%
F_add_dot_isel,pm_cmplu_stall_lsu:u,7680121,1.9200,100.00%
F_add_dot_isel,pm_st_fwd:u,0,0.0000,25.00%
F_add_dot_isel,pm_flush_lsu:u,68,0.0000,51.00%
F_add_dot_isel,pm_lsu_flush_lhl_shl:u,7,0.0000,76.00%
F_add_dot_isel,pm_cmplu_stall_fxu:u,588723,0.1472,74.00%
S_reg_rt1,ns_per_iter,0.592,0.592
S_reg_rt1,cycles:u,28100917,7.0252,100.00%
S_reg_rt1,instructions:u,47534216,11.8836,100.00%
S_reg_rt1,pm_cmplu_stall:u,8531098,2.1328,100.00%
S_reg_rt1,pm_cmplu_stall_exec_unit:u,751877,0.1880,100.00%
S_reg_rt1,pm_flush_mpred:u,136284,0.0341,100.00%
S_reg_rt1,pm_cmplu_stall_st_fwd:u,1179,0.0003,100.00%
S_reg_rt1,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
S_reg_rt1,pm_br_mpred_cmpl:u,135436,0.0339,100.00%
S_reg_rt1,pm_br_pred_ccache:u,909,0.0002,100.00%
S_reg_rt1,pm_br_mpred_ccache:u,192,0.0000,100.00%
S_reg_rt1,pm_br_pred_lstack:u,1464,0.0004,100.00%
S_reg_rt1,pm_br_mpred_lstack:u,227,0.0001,100.00%
S_reg_rt1,pm_cmplu_stall_bru:u,987,0.0002,100.00%
S_reg_rt1,pm_cmplu_stall_lsu:u,7686327,1.9216,100.00%
S_reg_rt1,pm_st_fwd:u,30,0.0000,22.00%
S_reg_rt1,pm_flush_lsu:u,36,0.0000,57.00%
